feature_names,importance
thank,0.0931548071409
sorri,0.0272497450189
exclam,0.0269961229009
question_mark,0.0176884483354
pos_emoticon,0.0170072426147
but,0.0144704925345
describ,0.0116384488013
me,0.0110292498906
ellipsi,0.0108817585845
whi,0.0106325329422
good,0.010290206531
regard,0.00971766142921
not_work,0.00950955883296
weird,0.00908863846511
time,0.00885783885845
yesterday,0.0087031963988
work,0.00863694067965
cool,0.00856782331928
wor,0.00785570548569
annoy,0.00775726158485
think,0.00769563166934
well,0.00749247338382
m,0.0074647466158
yep,0.00742382968537
awesom,0.00737464097095
nice,0.00726418167499
problem,0.0072215859849
ag,0.00693662681097
this,0.00678936714649
not_enough,0.00662782099587
my,0.0066116040794
not_bett,0.00660657549613
confus,0.00660269888893
not_sorri,0.0064548244935
help,0.00644623357923
chroot,0.00635609993708
interest,0.00633683844901
thx,0.00632631842904
incompat,0.00626331447772
issu,0.00603875012359
or,0.00603617180171
would,0.00602293111735
not_know,0.00592939954634
glad,0.00587944729582
schedul,0.00574463030134
still,0.00570648900292
broken,0.00566010405392
get,0.005560512655
realli,0.00550601392449
not_nic,0.00544117293213
could,0.00535251181571
there,0.00534894634728
download,0.00534175527321
seem,0.00511568657335
document,0.00507648832055
fine,0.00475475800788
concept,0.0046607019191
happi,0.00465843971597
relea,0.0046339371773
misunderstand,0.00459120879774
comput,0.00456594211776
capistrano,0.00455548471878
marker,0.00453298670849
not_okay,0.00439607376415
meant,0.004161022197
not_go,0.00415001226423
bad,0.00405324769046
not_ther,0.0039123100208
agr,0.00389654510208
hard,0.00382293679651
doe,0.00369920419021
unfortun,0.00367913266073
sen,0.00362147352041
die,0.00361343419145
ad,0.00358803355143
fun,0.00351587911267
block,0.00350552027971
both,0.00350379200921
ind,0.0034960780967
not_perfect,0.00347411753691
those,0.00344227343849
system,0.00331299972932
set,0.00330061648494
we,0.00326693209358
not_hav,0.00323337876098
most,0.00320334514054
28,0.00316646462834
too,0.0031349110207
perhap,0.00308878434989
one,0.00302875656259
minut,0.00302209607273
smart,0.00302164026741
not_oth,0.00300848417147
neg_emoticon,0.00299427533063
written,0.00289922654072
not_happi,0.00277064442539
domain,0.00272866874744
not_distinct,0.00271946494785
yup,0.0026889426483
rc2,0.00268700469061
sound,0.00268592058764
cras,0.00267134534572
g,0.00264533566761
page,0.00263494550391
what,0.00263414710987
version,0.00261913558422
improv,0.00261829005561
call,0.0025983109007
cost,0.00259782319274
appropri,0.00259467347969
attach,0.00257938678411
like,0.00250335457622
read,0.00249639511014
channel,0.00248650757082
special,0.00246693651824
follow,0.00246237789309
link,0.00238937801303
mile,0.00232238670415
90,0.0023054831209
chang,0.00230233235531
pass,0.00228139805643
be,0.00226298921953
enough,0.00222621419401
not_handl,0.00219803257126
maintain,0.00219199408093
not_can,0.00217646542259
yeah,0.00216784894496
more,0.00214785534498
took,0.00212103225961
not_mak,0.00210722069925
appear,0.00207977609642
target,0.0020590842507
intro,0.00205828164036
ride,0.00204848623513
odd,0.00203728717209
even,0.0020105633021
becaus,0.0019836667249
refactor,0.00197852461737
all,0.00197513786868
bit,0.00193109144712
sad,0.00192443833176
pull,0.00191593253665
not_right,0.00188970054368
sever,0.00183783493003
8,0.00181921316132
not_particular,0.00179643915155
signif,0.00178622598381
them,0.00177791220017
latest,0.00177368288278
can,0.00176736742218
class,0.00172881623104
not_furth,0.00172269566043
use,0.00170930240788
recov,0.00170768839135
realm,0.00167686913233
confirm,0.00167263072132
approach,0.00166593198381
array,0.00165014243038
1000,0.00163190163161
not_good,0.0016027195754
oh,0.00159826132466
n,0.00158870390233
make,0.00158449140132
game,0.00157317039061
not_us,0.00155460253455
great,0.00154792133367
not_yet,0.00154352847831
yes,0.00152887555781
after,0.0015222149505
0,0.0015135401784
whether,0.00151216767398
step,0.00148632217523
function,0.00148440822922
not,0.00148071165973
scrapi,0.00147594569522
tree,0.0014621304167
command,0.00145397277753
final,0.00142013895132
task,0.00141473595559
not_fix,0.00136785572471
crash,0.00133743381318
not_audio,0.00129273266353
not_replac,0.00128725405237
thing,0.00128511970063
locat,0.00127002906345
idea,0.00125571495017
fail,0.00125559589231
better,0.00125439754756
ect,0.00122388631781
two,0.00118195935437
miss,0.00114419835973
gsoc,0.00113715023631
exist,0.00113312132304
exampl,0.001112130841
java,0.00110203473869
sinc,0.00108986300202
propag,0.00107032355481
request,0.00106843634785
searcher,0.00106129720603
troubl,0.00104400144797
variabl,0.00103508761675
s,0.00102509761291
valu,0.000996765812832
mattab,0.00099204770569
need,0.000991292495589
catch,0.000990577977727
apt,0.00098834853215
accept,0.000983319679039
vue,0.000979815405816
so,0.000968398280816
not_ll,0.000961907383606
look,0.000959323449684
not_quit,0.000955427704166
might,0.000938954913597
not_own,0.000936452214087
not_onc,0.000933088348679
lin,0.000931771260536
tini,0.000928667408248
desktop,0.00092467953808
not_introduc,0.000915317723478
not_would,0.000914199902778
name,0.000913281286262
dennisl,0.000906076532955
not_intern,0.000902319445964
silli,0.00089951575198
your,0.000896495656156
redappl,0.000892288344919
happen,0.000886867483698
stack,0.000874324226563
long,0.000869942277026
04,0.000862558341965
remov,0.000859011260615
separ,0.000850679029634
directori,0.000850327667982
string,0.000841832257542
entir,0.000828172333575
not_on,0.00082810684834
into,0.00082647890466
e,0.000825269610369
copi,0.000815517931153
2,0.000813914878463
not_first,0.000805756586816
